"nombre;""rut"";""estado"";""categoria"";""tipo"";""segmentos"";""region"";""comuna"";""telefono"";""dir_comercial"";""dir_despacho"";""contacto_despacho"";""despacho"";""transportadora"";""dir_transportadora"";""compras"";""cobranzas"";""recepcion"";""marcas_propias"";""marcas_competencia"";""vendedor"""
"ANDREA VALENZUELA CARRASCO;""14365112-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Pudahuel"";""+56998300382"";""Av. La Estrella 1389, Pudahuel, Metropolitana"";""Icla, Pudahuel, Metropolitana"";"""";""Reparto propio"";"""";"""";"""";"""";"""";""Ipone"";"""";""Sebastián Agusto"""
"ANDREAS VALENZUELA ROCHE;""16152102-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Gibson"";"""";"""""
"ANDRES GONZALEZ;""13361047-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";""+56979654417"";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone"";"""";"""""
"ANDRES GONZALEZ DESTERRADOS;""13.361.047-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";""+56 9 7965 4417"";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"ANDRES JONEMANN;""99789352"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";""+56971662216"";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"ANDRES JUNEMANN NUNEZ;""9978935-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz"";"""";"""""
"ANGELO ALVARO GONZALEZ MALE;""20035094-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ANGELO GENTA P. E.I.R.L;""76976697-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko, Ipone, Motoz"";"""";"""""
"ANGELO JAVIER SUAREZ DOSSI;""15448982-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"ANTHONY JHON MOLANO VARGAS;""26084597-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Ipone, Shinko"";"""";"""""
"AN?BAL ALEJANDRO REYES AM?STICA;""17458996-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ARAYA MOTOS DANILO EDUARDO SPA;""77055225-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Maipu"";"""";""AV. LOS PAJARITOS 1425, Maipu, Metropolitana"";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey, Ipone"";"""";""Claudio Leclerc"""
"ARRANCANDO SPA;""77441701-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ARSENIO CERDA;""10052155-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Gibson"";"""";"""""
"ASIA FOOD SPA;""77855007-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Antofagasta"";""Antofagasta"";"""";""General Velásquez 1198, Antofagasta, Antofagasta"";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"AUSTRAL PRODUCCIOINES LIMITADA;""77829032-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Biobío"";""Concepción"";""+56988831856"";""Paicaví 2022, Concepción, Concepción, Biobío"";"""";"""";""Retiro en tienda"";"""";"""";""Nelson Parada"";"""";"""";"""";"""";"""""
"AUSTRAL PRODUCCIONES LTDA;""77.829.032-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone"";"""";"""""
"AUTOMOTORA SANTA MARIA LTDA;""79586200-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Ipone, Shinko, Monkey"";"""";"""""
"AUTOMOTRIZ GONZALO CARMONA Y CIA LTDA;""77231820-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"AUTOVIA CHILE LIMITADA;""76014548-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Shinko, Bridgestone"";"""";"""""
"BASTIAN ROJO;""21204998-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"BEROMOTOS;""76225503-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Claudio Leclerc"""
"BIG TRAIL SHOP SPA;""76636099-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz, Shinko"";"""";"""""
"BIMOTA;""80738800-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Ipone"";"""";"""""
"BLT CARBIKE SPA;""77664862-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"BRAAAAP STORE SPA;""77396345-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Shinko"";"""";""Claudio Leclerc"""
"BRAM MOTORCYCLE PARTS SPA;""77002767-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"BRIDGESTONE CHILE S.A;""93602000-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"BRONKO MOTOS SPA;""77891762-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Shinko"";"""";""Claudio Leclerc"""
"BRUNA RACING SPA;""77592179-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Claudio Leclerc"""
"BRUNO HERNANDEZ GABOR;""21030755-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Ipone"";"""";"""""
"Burgonz motos SPA;""77.484.331-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Estacion Central"";""+56974802389"";""AV. PADRE HURTADO 295, Estacion Central, Metropolitana"";"""";"""";""Retiro en tienda"";"""";"""";""AVILIO GONZALEZ"";"""";"""";""Ipone"";"""";""Sebastián Agusto"""
"BURGONZ MOTOS SPA;""77484331-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""GT-Oil, Ipone"";"""";"""""
"BYPMOTOS SPA;""78213887-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Estación Central"";""+56977594301"";""Concón 19, Estación Central, Estación Central, Metropolitana"";"""";"""";""Retiro en tienda"";"""";"""";""Bastian Rojo"";"""";"""";""Ipone, Shinko, Monkey"";"""";"""""
"CABRINI LAZCANO SPA;""76942402-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CALOTA MOTO YASSEF SELMAN EIRL;""77262855-2"";""Cliente"";""3"";""Tienda de repuestos"";""Tienda"";""Biobío"";""Concepcion"";""+56 9 8229 0279"";""Castellon 764, Concepcion, Biobío"";""Starken CtaCte, Concepcion, Biobío"";"""";""Reparto propio"";"""";"""";""Yassef Calota"";"""";"""";""Shinko, Ipone, Motoz, Bridgestone"";"""";""Claudio Leclerc"""
"CARLOS ABRAHAM CARDENAS RODRIGUEZ;""13899013-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Sebastián Agusto"""
"CARLOS ALBERTO MUNOZ MAS;""7670637-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Ipone"";"""";"""""
"CARLOS ALEJANDRO GUTIERREZ DAVILA;""16358134-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey"";"""";"""""
"CARLOS ANDRES HORMAZABAL ATENAS;""13945741-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CARLOS AUGUSTO ERRAZURIZ SAAVEDRA;""19687212-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"CARLOS D?AZ;""17442219-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey"";"""";"""""
"CARLOS ESTEBAN PACHECO CARRASCO;""12519825-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Shinko, Monkey"";"""";"""""
"CARLOS IGNACIO MUNOZ ARACENA;""19787327-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CARLOS TEIXEIRA;""48229453-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Motoz"";"""";"""""
"CAROLINA YANILL ALARCON SAEZ;""17171745-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Maule"";""Linares"";""+56 9 5018 1938"";""Januario Espinoza 1027, Linares, Maule"";"""";"""";""Retiro en tienda"";"""";"""";""FRANCISCO VALDES"";"""";"""";""GT-Oil, Ipone, Monkey"";"""";"""""
"CARPAS GONI SPA;""76866026-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"CASA RACING CHILE LIMITADA;""76800031-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey, Ipone"";"""";"""""
"CATALINA NINOSKA MICHEA SILVA;""1926722-K"";""Cliente"";""3"";""Tienda de repuestos"";""Taller"";""Valparaíso"";""San Esteban"";""+56947846536"";""LA UNION 204, SAN ESTEBAN. LOS ANDES, San Esteban, Valparaíso"";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone"";"""";"""""
"CEC SERVICES SPA;""77418831-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Ipone"";"""";"""""
"CENNY ALEJANDRO BILBAO PENA;""21326368-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"CESAR ANTONIO MILLAN SIERRAALTA;""25571346-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz"";"""";"""""
"CESAR DUANNY BELTRAN TAPIA;""15718247-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CESAR ENRIQUE OCHOA SALAZAR;""27084444-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CESAR FELIPE SANDOVAL SANDOVAL;""13847158-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"CESAR MAURICIO GARRIDO LAGOS;""18387174-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CG MOTORS SPA;""77563939-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""GT-Oil, Ipone, Shinko"";"""";""Claudio Leclerc"""
"CHRISTOPHER COLVIN GRAUSCHOPF;""13056246-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CHRISTOPHER GORTAIRE;""12821147-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"CLAUDIA ANDREA MARTINEZ BUSTAMANTE;""19130462-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"CLAUDIA LUNA VASQUEZ SOTO;""16107237-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko, Monkey, GT-Oil, Ipone"";"""";"""""
"CLAUDIA ROSARIO BICHARA MUNOZ;""10985517-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz"";"""";"""""
"CLAUDIO ANDRES CHAVEZ HERRERA;""12440659-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"CLAUDIO ENRIQUE OLMOS GOMEZ;""14481591-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"Claudio Leclerc Camus;""7.6626.836-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Quilicura"";""+56 9 39171415"";""El Juncal 240, Quilicura, Metropolitana"";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Shinko, Bridgestone, Motoz"";"""";"""""
"COLETTE ALICE DE RAUCOURT ROCA;""7024119-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"COLMOTOS SPA;""77915954-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Claudio Leclerc"""
"COLOMBIA MOTOS SPA;""76592427-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";""Claudio Leclerc"""
"COLVIN Y COLVIN LTDA;""53016530-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Gibson, Shinko, Monkey"";"""";"""""
"COM ANDRES A BARRERA VEGA EIRL;""16984710-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey"";"""";"""""
"COMERCIAL ANDRES A BARRERA VEGA EIRL;""76716645-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey"";"""";"""""
"COMERCIAL ASSEM MOTOS SPA.;""77199506-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMERCIAL BYD LIMITADA;""76320271-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz"";"""";"""""
"COMERCIAL CARRERA LTDA;""76269962-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Valparaíso"";""Quilpue"";"""";""CALLE SEGUNDA 0773, QUILPUE 0773, Quilpue, Valparaíso"";""CALLE SEGUNDA 0773, QUILPUE 0773, Quilpue, Valparaíso"";"""";""Reparto propio"";"""";"""";"""";"""";"""";""Motoz, Shinko"";"""";"""""
"COMERCIAL CELA SPA;""76776869-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"COMERCIAL CHALECO LOPEZY DEL CAMPO LTDA;""76746592-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko, Ipone"";"""";"""""
"COMERCIAL DASCANIO LIMITADA;""76071825-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz"";"""";"""""
"COMERCIAL E INVERSIONES ESR;""76301961-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Motoz, Shinko"";"""";"""""
